route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
10,1,10,E. 14th St. - Mission,,3,https://www.actransit.org/bus-lines-schedules/10,2B589C,FFFFFF
12,1,12,MLK Jr. - Temescal - Grand,,3,https://www.actransit.org/bus-lines-schedules/12,2B589C,FFFFFF
14,1,14,14th St - San Antonio - High St,,3,https://www.actransit.org/bus-lines-schedules/14,2B589C,FFFFFF
18,1,18,Solano - Shattuck - MLK Jr.,,3,https://www.actransit.org/bus-lines-schedules/18,A30D11,FFFFFF
19,1,19,Buena Vista - Fruitvale,,3,https://www.actransit.org/bus-lines-schedules/19,07B5D0,000000
1T,1,1T,International - E. 14th,,3,https://www.actransit.org/bus-lines-schedules/1T,782B84,FFFFFF
20,1,20,Dimond - Fruitvale - South Shore,,3,https://www.actransit.org/bus-lines-schedules/20,07B5D0,000000
200,1,200,Decoto - Newark Blvd. - Mowry,,3,https://www.actransit.org/bus-lines-schedules/200,2B589C,FFFFFF
21,1,21,Dimond - Fruitvale - Bay Farm,,3,https://www.actransit.org/bus-lines-schedules/21,07B5D0,000000
210,1,210,Fremont Blvd. - Mission San Jose,,3,https://www.actransit.org/bus-lines-schedules/210,2B589C,FFFFFF
212,1,212,Fremont Blvd. - Pacific Commons,,3,https://www.actransit.org/bus-lines-schedules/212,2B589C,FFFFFF
215,1,215,Osgood - Warm Springs - Landing,,3,https://www.actransit.org/bus-lines-schedules/215,07B5D0,000000
216,1,216,Niles - Stevenson - NewPark,,3,https://www.actransit.org/bus-lines-schedules/216,07B5D0,000000
217,1,217,Mission San Jose - Milpitas,,3,https://www.actransit.org/bus-lines-schedules/217,2B589C,FFFFFF
232,1,232,Mission - Decoto - NewPark,,3,https://www.actransit.org/bus-lines-schedules/232,07B5D0,000000
239,1,239,Grimmer - Warm Springs,,3,https://www.actransit.org/bus-lines-schedules/239,07B5D0,000000
251,1,251,Paseo Padre - Thornton - Cherry,,3,https://www.actransit.org/bus-lines-schedules/251,07B5D0,000000
28,1,28,Alvarado - Castro Valley - B St.,,3,https://www.actransit.org/bus-lines-schedules/28,07B5D0,000000
29,1,29,Hollis - Peralta - Lakeshore,,3,https://www.actransit.org/bus-lines-schedules/29,2B589C,FFFFFF
33,1,33,Piedmont - Harrison - Park Blvd.,,3,https://www.actransit.org/bus-lines-schedules/33,2B589C,FFFFFF
34,1,34,Estudillo - Davis - Meekland,,3,https://www.actransit.org/bus-lines-schedules/34,07B5D0,000000
35,1,35,Estudillo - Davis -  Lewelling,,3,https://www.actransit.org/bus-lines-schedules/35,07B5D0,000000
36,1,36,Dwight - Shellmound - Adeline,,3,https://www.actransit.org/bus-lines-schedules/36,2B589C,FFFFFF
376,1,376,Cutting - N. Richmond - Nights,,3,https://www.actransit.org/bus-lines-schedules/376,BC8E2D,000000
39,1,39,Skyline - Dimond - Fruitvale,,3,https://www.actransit.org/bus-lines-schedules/39,07B5D0,000000
40,1,40,Foothill - Bancroft - Bay Fair,,3,https://www.actransit.org/bus-lines-schedules/40,A30D11,FFFFFF
41,1,41,Whitman - Huntwood - Union Landg,,3,https://www.actransit.org/bus-lines-schedules/41,07B5D0,000000
45,1,45,Seminary - Sobrante Park,,3,https://www.actransit.org/bus-lines-schedules/45,2B589C,FFFFFF
46L,1,46L,82nd Ave. - Grass Valley Limited,,3,https://www.actransit.org/bus-lines-schedules/46L,07B5D0,000000
51A,1,51A,Broadway - Santa Clara,,3,https://www.actransit.org/bus-lines-schedules/51A,A30D11,FFFFFF
51B,1,51B,University - College - Rockridge,,3,https://www.actransit.org/bus-lines-schedules/51B,A30D11,FFFFFF
52,1,52,UC Village - Cedar - UC Campus,,3,https://www.actransit.org/bus-lines-schedules/52,2B589C,FFFFFF
54,1,54,35th Ave. - Merritt College,,3,https://www.actransit.org/bus-lines-schedules/54,A30D11,FFFFFF
56,1,56,Santa Clara - Weekes - Huntwood,,3,https://www.actransit.org/bus-lines-schedules/56,07B5D0,000000
57,1,57,40th St. - MacArthur,,3,https://www.actransit.org/bus-lines-schedules/57,A30D11,FFFFFF
6,1,6,Berkeley - Telegraph - Oakland,,3,https://www.actransit.org/bus-lines-schedules/6,A30D11,FFFFFF
60,1,60,CSUEB - Southland - Tennyson,,3,https://www.actransit.org/bus-lines-schedules/60,07B5D0,000000
62,1,62,7th St. - San Antonio - 23rd Av.,,3,https://www.actransit.org/bus-lines-schedules/62,2B589C,FFFFFF
620,1,620,Newark Middle - Cedar,,3,https://www.actransit.org/bus-lines-schedules/620,595959,FFFFFF
626,1,626,Newark Memorial - Newark Blvd.,,3,https://www.actransit.org/bus-lines-schedules/626,595959,FFFFFF
628,1,628,Newark Memorial  - Cedar,,3,https://www.actransit.org/bus-lines-schedules/628,595959,FFFFFF
629,1,629,Newark Memorial - Cherry - Haley,,3,https://www.actransit.org/bus-lines-schedules/629,595959,FFFFFF
65,1,65,Grizzly Peak - Euclid,,3,https://www.actransit.org/bus-lines-schedules/65,07B5D0,000000
67,1,67,Spruce - Oxford,,3,https://www.actransit.org/bus-lines-schedules/67,2B589C,FFFFFF
7,1,7,Arlington - Shattuck - Ashby,,3,https://www.actransit.org/bus-lines-schedules/7,2B589C,FFFFFF
70,1,70,Rheem - San Pablo Dam - Appian,,3,https://www.actransit.org/bus-lines-schedules/70,07B5D0,000000
701,1,701,Pittsburg/BP Transbay Early Bird,,3,https://www.actransit.org/bus-lines-schedules/701,492F92,FFFFFF
702,1,702,Pleas Hill Transbay Early Bird,,3,https://www.actransit.org/bus-lines-schedules/702,492F92,FFFFFF
703,1,703,Dubl/Plsntn Transbay Early Bird,,3,https://www.actransit.org/bus-lines-schedules/703,492F92,FFFFFF
706,1,706,Bay Fair Transbay Early Bird,,3,https://www.actransit.org/bus-lines-schedules/706,492F92,FFFFFF
707,1,707,Fremont - Transbay Early Bird,,3,https://www.actransit.org/bus-lines-schedules/707,492F92,FFFFFF
71,1,71,Parchester - Rumrill - Carlson,,3,https://www.actransit.org/bus-lines-schedules/71,28589C,FFFFFF
72,1,72,Hilltop - CCC - San Pablo,,3,https://www.actransit.org/bus-lines-schedules/72,2B589C,FFFFFF
72M,1,72M,Macdonald - San Pablo,,3,https://www.actransit.org/bus-lines-schedules/72M,2B589C,FFFFFF
72R,1,72R,San Pablo Rapid,,3,https://www.actransit.org/bus-lines-schedules/72R,A30D11,FFFFFF
73,1,73,73rd Ave. - Coliseum - Airport,,3,https://www.actransit.org/bus-lines-schedules/73,A30D11,FFFFFF
74,1,74,San Pablo Dam - 23rd St.,,3,https://www.actransit.org/bus-lines-schedules/74,2A5799,FFFFFF
76,1,76,Hilltop - Market -  Cutting,,3,https://www.actransit.org/bus-lines-schedules/76,2A5799,FFFFFF
79,1,79,Colusa - The Alameda - Claremont,,3,https://www.actransit.org/bus-lines-schedules/79,28589C,FFFFFF
800,1,800,Rich - Oak Transbay All Nighter,,3,https://www.actransit.org/bus-lines-schedules/800,BC8E2D,000000
801,1,801,E 14th - Mission  All Nighter,,3,https://www.actransit.org/bus-lines-schedules/801,BC8E2D,000000
802,1,802,San Pablo All Nighter,,3,https://www.actransit.org/bus-lines-schedules/802,BC8E2D,000000
805,1,805,MacArthur - Airport All Nighter,,3,https://www.actransit.org/bus-lines-schedules/805,BC8E2D,000000
840,1,840,Foothill - Eastmont All Nighter,,3,https://www.actransit.org/bus-lines-schedules/840,BC8E2D,000000
851,1,851,College - Broadway All Nighter,,3,https://www.actransit.org/bus-lines-schedules/851,BC8E2D,000000
86,1,86,Winton - Industrial - Tennyson,,3,https://www.actransit.org/bus-lines-schedules/86,07B5D0,000000
88,1,88,Sacramento - Market,,3,https://www.actransit.org/bus-lines-schedules/88,2B589C,FFFFFF
90,1,90,85th Ave. - Elmhurst - 90th Ave.,,3,https://www.actransit.org/bus-lines-schedules/90,2B589C,FFFFFF
93,1,93,Ashland - San Lorenzo - A St.,,3,https://www.actransit.org/bus-lines-schedules/93,07B5D0,000000
95,1,95,D St. - Maud - Fairview,,3,https://www.actransit.org/bus-lines-schedules/95,07B5D0,000000
96,1,96,Alameda Pt. - 14th Ave. - Dimond,,3,https://www.actransit.org/bus-lines-schedules/96,2B589C,FFFFFF
97,1,97,Hesperian - Alvarado - Decoto,,3,https://www.actransit.org/bus-lines-schedules/97,2B589C,FFFFFF
98,1,98,Eastmont - 98th Ave. - Edgewater,,3,https://www.actransit.org/bus-lines-schedules/98,2B589C,FFFFFF
99,1,99,Mission - Decoto - Fremont Blvd.,,3,https://www.actransit.org/bus-lines-schedules/99,2B589C,FFFFFF
E,1,E,Tunnel Rd. - Claremont Transbay,,3,https://www.actransit.org/bus-lines-schedules/E,BC8E2D,000000
F,1,F,Adeline - Market Transbay,,3,https://www.actransit.org/bus-lines-schedules/F,2B589C,FFFFFF
