service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
RJUN24-801-1_Weekday-20,1,1,1,1,1,0,0,20240716,20240718
RJUN24-801-1_Weekday-19,1,1,1,1,1,0,0,20240719,20240719
RJUN24-801-2_Saturday-90,0,0,0,0,0,1,0,20240720,20240727
RJUN24-801-3_Sunday-90,0,0,0,0,0,0,1,20240721,20240728
RJUN24-801-1_Weekday-90,1,1,1,1,1,0,0,20240722,20240730
RJUN24-802-1_Weekday-23,1,1,1,1,1,0,0,20240716,20240716
RJUN24-802-1_Weekday-18,1,1,1,1,1,0,0,20240717,20240719
RJUN24-802-2_Saturday-33,0,0,0,0,0,1,0,20240720,20240720
RJUN24-802-3_Sunday-90,0,0,0,0,0,0,1,20240721,20240728
RJUN24-802-1_Weekday-90,1,1,1,1,1,0,0,20240722,20240730
RJUN24-802-2_Saturday-90,0,0,0,0,0,1,0,20240727,20240727
RJUN24-803-1_Weekday-05,1,1,1,1,1,0,0,20240716,20240730
RJUN24-803-2_Saturday-03,0,0,0,0,0,1,0,20240720,20240727
RJUN24-803-3_Sunday-03,0,0,0,0,0,0,1,20240721,20240728
RJUN24-804-1_Weekday-90,1,1,1,1,1,0,0,20240716,20240730
RJUN24-804-2_Saturday-90,0,0,0,0,0,1,0,20240720,20240727
RJUN24-804-3_Sunday-90,0,0,0,0,0,0,1,20240721,20240728
RJUN24-807-1_Weekday-90,1,1,1,1,1,0,0,20240716,20240730
RJUN24-807-2_Saturday-90,0,0,0,0,0,1,0,20240720,20240727
RJUN24-807-3_Sunday-90,0,0,0,0,0,0,1,20240721,20240728
