route_id,direction_id,direction
251-207,0,Inbound
276-207,1,Outbound
276-207,0,Inbound
122-207,0,North
122-207,1,South
280-207,1,West
280-207,0,East
292-207,1,South
292-207,0,North
110-207,0,North
110-207,1,South
141-207,1,West
141-207,0,East
397-207,1,South
397-207,0,North
121-207,0,North
121-207,1,South
270-207,1,Counterclockwise
278-207,1,West
278-207,0,East
295-207,0,North
295-207,1,South
713-207,0,North
713-207,1,South
112-207,0,North
112-207,1,South
120-207,0,North
120-207,1,South
296-207,1,South
296-207,0,North
296O-207,0,North
296O-207,1,South
294-207,1,West
294-207,0,East
260-207,0,East
260-207,1,West
281-207,1,West
281-207,0,East
FCX-207,0,North
FCX-207,1,South
142-207,1,West
142-207,0,East
ECRO-207,1,South
ECRO-207,0,North
117-207,0,North
117-207,1,South
250-207,1,West
250-207,0,East
130-207,0,North
130-207,1,South
49-207,0,East
18-207,1,South
15-207,1,South
15-207,0,North
18-207,0,North
19-207,0,North
19-207,1,South
24-207,1,West
24-207,0,East
25-207,1,West
25-207,0,East
28-207,0,North
28-207,1,South
37-207,1,West
37-207,0,East
46-207,1,South
46-207,0,North
57-207,0,East
57-207,1,West
59-207,1,West
62-207,0,North
62-207,1,South
79-207,1,West
79-207,0,East
81-207,0,East
49-207,1,West
53P-207,0,East
53P-207,1,West
68-207,1,West
68-207,0,East
59-207,0,East
82-207,0,East
82-207,1,West
83-207,1,West
83-207,0,East
88-207,0,East
29-207,1,West
29-207,0,East
14-207,0,Clockwise
35-207,0,East
35-207,1,West
54-207,0,East
56-207,0,East
56-207,1,West
58-207,1,West
58-207,0,East
60-207,0,East
60-207,1,West
61-207,0,North
61-207,1,South
67-207,1,West
67-207,0,East
73-207,0,East
73-207,1,West
85-207,1,West
87-207,1,West
54-207,1,West
53-207,1,West
53-207,0,East
72-207,0,East
72-207,1,West
10-207,1,South
10-207,0,North
12-207,1,South
12-207,0,North
30-207,0,North
30-207,1,South
41-207,0,East
41-207,1,West
42-207,0,East
42-207,1,West
50-207,1,West
51-207,1,West
51-207,0,East
78-207,0,East
78-207,1,West
81-207,1,West
86-207,0,East
86-207,1,West
40-207,0,East
40-207,1,West
EPX-207,0,North
EPX-207,1,South
ECR-207,0,North
ECR-207,1,South
138-207,1,Outbound
138-207,0,Inbound
112-207,0,North
112-207,1,South
110-207,0,North
110-207,1,South
296O-207,0,North
296O-207,1,South
296-207,1,South
296-207,0,North
120-207,0,North
120-207,1,South
130-207,1,South
130-207,0,North
292-207,1,South
292-207,0,North
250-207,0,East
250-207,1,West
251-207,0,Inbound
260-207,0,East
260-207,1,West
270-207,1,Counterclockwise
278-207,1,West
278-207,0,East
280-207,0,East
280-207,1,West
294-207,0,East
294-207,1,West
397-207,1,South
397-207,0,North
122-207,0,North
122-207,1,South
281-207,0,East
281-207,1,West
ECRO-207,0,North
ECRO-207,1,South
142-207,0,East
142-207,1,West
121-207,1,South
121-207,0,North
141-207,1,West
141-207,0,East
117-207,0,North
117-207,1,South
ECR-207,0,North
ECR-207,1,South
138-207,1,Outbound
138-207,0,Inbound
397-207,0,North
397-207,1,South
292-207,0,North
292-207,1,South
296-207,0,North
296O-207,0,North
296-207,1,South
296O-207,1,South
294-207,1,West
294-207,0,East
280-207,1,West
280-207,0,East
250-207,0,East
250-207,1,West
130-207,1,South
130-207,0,North
120-207,1,South
120-207,0,North
110-207,1,South
110-207,0,North
112-207,0,North
112-207,1,South
122-207,0,North
122-207,1,South
281-207,1,West
281-207,0,East
142-207,1,West
142-207,0,East
278-207,1,West
278-207,0,East
ECRO-207,1,South
ECRO-207,0,North
121-207,0,North
121-207,1,South
141-207,1,West
141-207,0,East
117-207,0,North
117-207,1,South
ECR-207,1,South
ECR-207,0,North
138-207,1,Outbound
138-207,0,Inbound
