fare_id,route_id,origin_id,destination_id,contains_id
"OW_Adult_20160110",10-207,1,1,
"OW_Adult_20160110",12-207,1,1,
"OW_Adult_20160110",14-207,1,1,
"OW_Adult_20160110",15-207,1,1,
"OW_Adult_20160110",18-207,1,1,
"OW_Adult_20160110",19-207,1,1,
"OW_Adult_20160110",24-207,1,1,
"OW_Adult_20160110",25-207,1,1,
"OW_Adult_20160110",28-207,1,1,
"OW_Adult_20160110",29-207,1,1,
"OW_Adult_20160110",30-207,1,1,
"OW_Adult_20160110",35-207,1,1,
"OW_Adult_20160110",37-207,1,1,
"OW_Adult_20160110",40-207,1,1,
"OW_Adult_20160110",41-207,1,1,
"OW_Adult_20160110",42-207,1,1,
"OW_Adult_20160110",46-207,1,1,
"OW_Adult_20160110",49-207,1,1,
"OW_Adult_20160110",50-207,1,1,
"OW_Adult_20160110",51-207,1,1,
"OW_Adult_20160110",53-207,1,1,
"OW_Adult_20160110",53P-207,1,1,
"OW_Adult_20160110",54-207,1,1,
"OW_Adult_20160110",56-207,1,1,
"OW_Adult_20160110",57-207,1,1,
"OW_Adult_20160110",58-207,1,1,
"OW_Adult_20160110",59-207,1,1,
"OW_Adult_20160110",60-207,1,1,
"OW_Adult_20160110",61-207,1,1,
"OW_Adult_20160110",62-207,1,1,
"OW_Adult_20160110",67-207,1,1,
"OW_Adult_20160110",68-207,1,1,
"OW_Adult_20160110",72-207,1,1,
"OW_Adult_20160110",73-207,1,1,
"OW_Adult_20160110",78-207,1,1,
"OW_Adult_20160110",79-207,1,1,
"OW_Adult_20160110",81-207,1,1,
"OW_Adult_20160110",82-207,1,1,
"OW_Adult_20160110",83-207,1,1,
"OW_Adult_20160110",85-207,1,1,
"OW_Adult_20160110",86-207,1,1,
"OW_Adult_20160110",87-207,1,1,
"OW_Adult_20160110",88-207,1,1,
"OW_Adult_20160110",110-207,1,1,
"OW_Adult_20160110",112-207,1,1,
"OW_Adult_20160110",117-207,1,1,
"OW_Adult_20160110",120-207,1,1,
"OW_Adult_20160110",121-207,1,1,
"OW_Adult_20160110",122-207,1,1,
"OW_Adult_20160110",130-207,1,1,
"OW_Adult_20160110",138-207,1,1,
"OW_Adult_20160110",141-207,1,1,
"OW_Adult_20160110",142-207,1,1,
"OW_Adult_20160110",250-207,1,1,
"OW_Adult_20160110",251-207,1,1,
"OW_Adult_20160110",260-207,1,1,
"OW_Adult_20160110",270-207,1,1,
"OW_Adult_20160110",276-207,1,1,
"OW_Adult_20160110",278-207,1,1,
"OW_Adult_20160110",280-207,1,1,
"OW_Adult_20160110",281-207,1,1,
"OW_Adult_20160110",292-207,1,1,
"OW_Adult_20160110",294-207,1,1,
"OW_Adult_20160110",295-207,1,1,
"OW_Adult_20160110",296-207,1,1,
"OW_Adult_20160110",296O-207,1,1,
"OW_Adult_20160110",397-207,1,1,
"OW_Adult_20160110",713-207,1,1,
"OW_Adult_20160110",ECR-207,1,1,
"OW_Adult_20160110",ECRO-207,1,1,
"OW_Adult_20160110",EPX-207,1,1,
"OW_Adult_20160110",FCX-207,1,1,
"OW_Adult_20160110",122-207,2,1,
"OW_Adult_20160110",122-207,1,2,
"OW_Adult_20160110",292-207,2,1,
"OW_Adult_20160110",292-207,1,2,
"OW_Adult_20160110",397-207,2,1,
"OW_Adult_20160110",397-207,1,2,
"OW_Adult_20160110",713-207,2,1,
"OW_Adult_20160110",713-207,1,2,
"OW_Exp_20160110",FCX-207,2,1,
"OW_Exp_20160110",FCX-207,1,2,
