route_id,realtime_enabled,realtime_routename,realtime_routecode
10-207,1,,
12-207,1,,
14-207,1,,
15-207,1,,
18-207,1,,
19-207,1,,
24-207,1,,
25-207,1,,
28-207,1,,
29-207,1,,
30-207,1,,
35-207,1,,
37-207,1,,
40-207,1,,
41-207,1,,
42-207,1,,
46-207,1,,
49-207,1,,
50-207,1,,
51-207,1,,
53-207,1,,
53P-207,1,,
54-207,1,,
56-207,1,,
57-207,1,,
58-207,1,,
59-207,1,,
60-207,1,,
61-207,1,,
62-207,1,,
67-207,1,,
68-207,1,,
72-207,1,,
73-207,1,,
78-207,1,,
79-207,1,,
81-207,1,,
82-207,1,,
83-207,1,,
85-207,1,,
86-207,1,,
87-207,1,,
88-207,1,,
110-207,1,,
112-207,1,,
117-207,1,,
120-207,1,,
121-207,1,,
122-207,1,,
130-207,1,,
138-207,1,,
141-207,1,,
142-207,1,,
250-207,1,,
251-207,1,,
260-207,1,,
270-207,1,,
276-207,1,,
278-207,1,,
280-207,1,,
281-207,1,,
292-207,1,,
294-207,1,,
295-207,1,,
296-207,1,,
296O-207,1,,
397-207,1,,
713-207,1,,
ECR-207,1,,
ECRO-207,1,,
EPX-207,1,,
FCX-207,1,,
